District,Pharmacy Name,Address,Phone
الشمال - طرابلس,صيدلية صحتي Sehhaty,طرابلس-قرب المأوى-الحدادين ملك محمد مالك عبد الجواد الشيخ ابراهيم عقار 20 قسم 538,71/751357; 06/241821
الشمال - طرابلس,صيدلية علاوي - Pharmacie - السباتين,منطقة بساتين طرابلس العقارية-قسم S3-الطريق العام -ملك طراق كرامي,03/228122; 06/626000; 06/627000
الشمال - طرابلس,صيدلية علم - طرابلس,طرابلس-مملكه,06/442445
الشمال - طرابلس,صيدلية فارما جومانا - PHARMA,طرابلس-منطقة زيتون طرابلس العقارية-شارع المنار -المحل رقم 7-من العقار 6-705-ملك رامي شرقية,03/809480; 06/440470
الشمال - طرابلس,صيدلية كنج,طرابلس - التبائي - الزاهرة - ملك محمد مرقباوي عقار 21 - االقسام,06/423444
الشمال - طرابلس,صيدلية نادين - المعرض,طرابلس-مملكه,06/216818
الشمال - طرابلس,علم الدين - طرابلس,طرابلس-البولفار-مفرق الزاهرة-صربا ملك علم الدين عقار 1563/9,03/000046; 06/437000
الشمال - طرابلس,فارماسيتي - طرابلس,طرابلس-الميناء - اول اوتوستراد بيروت-بعد بنك البنائي الفرنسي-بنية الشتوي,03/317270; 06/600462
الشمال - طرابلس,كريمة - طرابلس,"طرابلس-الشيخ نديم الجسر-الصليب الاحمر دعمة وسليمان عقار 528 قسم 8 Floor, 5",06/424326
الشمال - طرابلس,كير اند كيور - طرابلس,طرابلس-بساتين طرابلس-ملك عمر احمدمروان منقاره,06/448110
الشمال - طرابلس,مجد - طرابلس,طرابلس-حي المنار-شارع المنار ابي سمرا-ملك محمد محمود توتنجي,03/420984; 06/601707
الشمال - طرابلس,مروان - طرابلس,طرابلس-بور سعيد-الينا ملك محمد الحصصي عقار 545,03/498035; 06/460002
الشمال - طرابلس,موسى - بحنين,بحنين الحي الاوتوستراد الشارع العام ملك سرايا عقار 41 القسم,76/387210; 06/433311
الشمال - عكار,DELTA دلتا فارماسي - البساتين - PHARMACY,البيساتين - الشارع الرئسي - عقار رقم 375 ملك مخول يوسف طنوس,03/445371; 06/350090
الشمال - عكار,New Sally Pharmacy - نيو - سالي - عكار,الدوسة و بغدادي - الطريق العام - ملك محمود محي الدين محمود,71/116941
الشمال - عكار,Pharmacie ST. ELIE - عقدت -,عندقت - حي الساحة - الطريق العام - ملك الياس طنوس البيطار,06/880939
الشمال - عكار,Pharmacie Zeniapharm - بقرزلا,بقرزل - الطريق العام - ملك هنري ماضي,76/542946; 06/805125
الشمال - عكار,Pharmacie Zeniapharm - بقرزلا,"منطقة الزواريب العقارية- عقار- الطريق العام-رقم العقار/6/ستة-الحمل الاول والثاني ملك شاهر محمود أسعد, 70/3",26/696922; 06/692247
الشمال - عكار,Pharmalife - عكار,القيبات - حي مرتمورة-الشارع العام - عقار 2718-المحلان الشمالي -ملك الشيخ جود وتوفيق وروئي عدو,71/762761; 26/350905
الشمال - عكار,Rami Pharm - صيدلية - رامي فارم,شمالا طريق عام البيرة-حلباوشرقا ورثة محمد النشار وجنوبا عبد الله النشار و غربا ورثة محمد عطوش وطريق عام داخلي - ملك حاتم النشار,03/307926
الشمال - عكار,البيرة - حلبا,حلبا طريق الجوحة ملك مسعود عقار 242,71/629395; 06/690433
الشمال - عكار,الرشيد - حلبا,حلبا- المنطقة العقارية حلبا عقار 1732 ملك محمود الحلبي,26/695705; 03/230454
الشمال - عكار,الرياض - حلبا,حلبا-الساحة-ملك رجاء نعيم عقار 229,03/416922; 26/691343
الشمال - عكار,السيدة - القيبات,القيبات-اوستوراد القيبات-حي الذوق الفوقاني-ملك حبيب مطاينوس كرم عقار 621,03/241073; 06/350259
الشمال - عكار,الهدى - حلبا,"Jamal Abdul Nasser Street, Corniche El Mina, next to yamani cafe",76/433433; 06/211113
الشمال - عكار,بالين - بينين - بينين,بينين الشارع العام ملك محمد عبد الغني سبسي وسهام مصطفى هزيم عقار 426 المخزن رقم 4,70/401112; 06/471051
